"Hospital_ID";"First_Name";"Last_Name";"Middle_Initial";"DOB";"Street_Number";"Street_Name";"Apt_Number";"City";"State_ID";"Zipcode";"Email";"Phone_Number";"Sex";"Ethnicity";"Created_At";"Last_Updated"
1;"Deshaun";"Watson";"";"1994-02-16";4534;"Ante. Av.";33;"Miami";10;10673;"nec.tempus.mauris@pedeSuspendi";"973573527";"male";"Others";"2019-04-23 16:17:49";"0000-00-00 00:00:00"
2;"Justin ";"Watt";"J";"1993-03-17";2352;"Quam St.";45;"Los Angeles";5;24294;"rhoncus.Nullam@lectusconvallis";"123764634";"male";"Hispanic";"2019-04-23 16:17:50";"0000-00-00 00:00:00"
3;"Will ";"Fuller";"";"1992-04-18";1798;"Lacinia Avenue";96;"West Valley City";46;38158;"egestas@arcuac.com";"854601401";"male";"Asian";"2019-04-23 16:17:50";"0000-00-00 00:00:00"
4;"Deandre ";"Hopkins";"";"1991-05-19";8216;"Pharetra Av.";40;"St.Cloud";24;69501;"lorem.luctus.ut@vulputatenisis";"406947202";"male";"White";"2019-04-23 16:17:52";"0000-00-00 00:00:00"
5;"Jadeveon ";"Clowney";"A";"1990-06-20";4260;"Vulputate St.";63;"St.Cloud";24;11038;"nunc.Quisque@ipsum.net";"758830222";"male";"Asian";"2019-04-23 16:17:53";"0000-00-00 00:00:00"
6;"Kareem ";"Jackson";"";"1995-07-21";8722;"Et Ave";4;"St.Cloud";24;28080;"luctus.et.ultrices@faucibusleo";"783490468";"male";"White";"2019-04-23 16:17:54";"0000-00-00 00:00:00"
7;"Lamar";"Miller";"";"1980-08-22";8736;"Enim. Av.";72;"Los Angeles";5;48841;"magna.Lorem@quistristique.co.u";"147589949";"male";"African American";"2019-04-23 16:17:55";"0000-00-00 00:00:00"
8;"KeKe";"Coute";"";"1981-09-23";5429;"Nec, St.";28;"Boise";13;53063;"nibh@accumsanconvallisante.org";"634267381";"male";"Asian";"2019-04-23 16:17:56";"0000-00-00 00:00:00"
9;"Nick ";"Martin";"G";"1982-10-24";6538;"In St.";41;"West Valley City";46;64030;"enim.Curabitur@aliquetmagnaa.n";"626065465";"male";"Asian";"2019-04-23 16:17:57";"0000-00-00 00:00:00"
10;"Carlos";"Watkins";"";"1993-11-25";6966;"Dui. Avenue";4;"Boise";13;78561;"condimentum@Aliquam.net";"692747808";"male";"White";"2019-04-23 16:17:57";"0000-00-00 00:00:00"
11;"Jonathan";"Joseph";"";"1983-12-26";8057;"Mauris. Rd.";93;"Miami";10;25293;"elit.fermentum@luctusetultrice";"491219633";"male";"African American";"2019-04-23 16:17:58";"0000-00-00 00:00:00"
